corruption,avg_loss,avg_accuracy,avg_error,severity_1_acc,severity_2_acc,severity_3_acc,severity_4_acc,severity_5_acc
brightness,0.3251080997759783,89.28999999999999,10.710000000000003,91.1,90.56,89.91,88.83,86.05
saturate,0.3830072657971442,87.522,12.478,89.1,87.16,90.54,87.47,83.34
fog,0.6029505330927764,81.64599999999999,18.354000000000003,90.91,88.87,85.99,81.44,61.02
elastic_transform,0.6430937079689171,80.06800000000001,19.932,85.73,85.53,81.66,75.58,71.84
spatter,0.7197706548473504,79.128,20.872,87.62,80.98,75.83,80.83,70.38
defocus_blur,0.767658634879921,78.72200000000001,21.278,90.87,89.56,84.14,74.38,54.66
jpeg_compression,0.6941987770267679,78.0,22.0,83.85,79.16,77.93,75.91,73.15
snow,0.8206381902664521,75.5,24.5,84.01,73.52,77.06,74.2,68.71
zoom_blur,0.9643722414970398,73.156,26.844,83.01,79.99,74.19,68.73,59.86
motion_blur,0.9774557816076882,72.72,27.28000000000001,86.1,78.13,69.16,69.38,60.83
frost,1.111458317463911,70.28,29.720000000000006,85.39,78.73,67.91,65.32,54.05
gaussian_blur,1.1867963726761974,70.102,29.898000000000003,90.9,84.07,73.55,61.56,40.43
contrast,1.1678778716280491,69.92,30.079999999999995,90.31,84.92,78.99,65.95,29.43
pixelate,1.18469418057158,69.446,30.554000000000002,88.24,81.89,76.47,58.67,41.96
speckle_noise,1.5325995609730105,62.254,37.745999999999995,83.66,71.89,64.88,51.5,39.34
shot_noise,1.710753552747678,59.06000000000002,40.940000000000005,83.51,75.47,54.96,46.89,34.47
impulse_noise,1.7464728765095336,56.37399999999999,43.626,80.89,69.63,60.2,43.66,27.49
gaussian_noise,2.335002936290789,47.895999999999994,52.104,77.4,59.11,41.06,33.58,28.33
glass_blur,2.066774147975294,47.456,52.544000000000004,48.67,50.51,54.82,39.44,43.84
